# a0	a1	a2	a3
    -83.4292	    -70.0808	    -72.3611	    -55.4198
     -4.6137	     -8.5113	     -0.7248	     -1.0845
      0.0000	      0.0000	    -14.8561	      0.0000
    -18.6633	    -21.1520	    -50.0637	    -31.3975
    -23.2367	    -50.7058	    -45.7059	    -14.1508
      0.0000	      0.0000	      0.0000	      0.0000
    -25.1595	    -13.5280	    -23.1048	    -18.6128
    -21.3143	    -29.1118	    -47.0857	    -25.4168
      0.0000	      0.0000	      0.0000	      0.0000
    -68.7399	    -63.7392	    -73.8906	    -47.2071
    -13.3851	    -32.7058	    -28.8415	    -20.2787
     -2.0673	    -26.0115	    -27.8010	     -4.3793
     -7.4863	     -4.8384	    -47.7457	     -6.5328
     -9.7434	    -25.5715	      0.0000	     -8.8511
    -24.7652	    -28.7607	    -40.1485	    -22.5638
    -43.1200	    -35.2973	    -60.9492	    -37.1279
      0.0000	      0.0000	      0.0000	      0.0000
     -0.0434	      7.4233	     -4.8111	     11.7999
    -12.0708	     -7.1331	    -33.8451	    -13.3647
     -8.3879	    -24.4071	     -5.4372	    -12.1720
    -28.9026	    -14.4676	    -42.6553	    -24.5931
     -3.2661	     -1.6918	     -7.3326	      4.2708
    -38.8835	    -40.0981	    -66.7993	    -32.5363
    -23.6845	     -4.0721	    -23.4870	    -30.8421
    -27.0528	     -2.9134	    -30.4795	     -8.0362
    -27.0921	    -18.8275	    -23.6076	     -9.1142
     -1.1285	      1.2047	    -24.4519	      5.1981
    -91.6029	   -107.7277	   -113.2786	   -101.1093
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      3.0513	     -1.0761	      4.6639
      0.0000	     -2.1050	     -4.5034	      0.0000
    -18.0322	    -18.6161	    -54.1146	      0.0000
